Region,Channel,Sales
North,Online,115.9605698361348
North,Online,108.34082838594578
North,Online,117.77226245720831
North,Online,128.2763582768963
North,Online,107.19015950331996
North,Online,107.19035651660984
North,Online,128.9505537860887
North,Online,119.20921674983491
North,Online,104.36630736878058
North,Online,116.51072052303158
North,Online,104.43898768625046
North,Online,104.41124295715692
North,Online,112.90354725879241
North,Online,87.04063706410642
North,Online,89.3009860098436
North,Online,103.25254964910833
North,Online,97.84602655598691
North,Online,113.77096799114328
North,Online,99.10371109374547
North,Online,93.0523555839765
North,Online,127.58778522705865
North,Online,107.29068439416157
North,Online,110.81033845625508
North,Online,92.90302176543852
North,Online,103.4674073056978
North,Online,111.3310710765184
North,Online,96.18807707093237
North,Online,114.50837622014807
North,Online,102.79233572097434
North,Online,106.49967500248067
North,Offline,92.77952065324723
North,Offline,122.22733821410725
North,Offline,99.8380333031448
North,Offline,87.3074688525292
North,Offline,109.87053894523827
North,Offline,85.34987620034774
North,Offline,102.50636314005706
North,Offline,76.4839585134427
North,Offline,84.06176741321883
North,Offline,102.36233483042949
North,Offline,108.86159895994493
North,Offline,102.05641937427964
North,Offline,98.61222061134112
North,Offline,96.38675565292853
North,Offline,82.25773611559087
North,Offline,91.36186949926349
North,Offline,94.47233474848255
North,Offline,112.68546671462698
North,Offline,104.12341947482153
North,Offline,78.8435181356472
North,Offline,103.88900763273755
North,Offline,95.3790126350042
North,Offline,91.8769359963285
North,Offline,107.34011546609041
North,Offline,112.37199426995141
North,Offline,111.17536142939439
North,Offline,89.92938972132833
North,Offline,96.28945148978542
North,Offline,103.97516117684276
North,Offline,111.70654152546831
South,Online,116.24990914585652
South,Online,119.7720922800342
South,Online,108.72398031192766
South,Online,107.64552051103195
South,Online,131.75030986873037
South,Online,138.27488034284988
South,Online,121.13587854103599
South,Online,134.0423947747043
South,Online,126.33963230057161
South,Online,114.25856294473851
South,Online,126.33674726610097
South,Online,140.45643879759163
South,Online,121.57008753068058
South,Online,140.7757238697681
South,Online,90.56305875092306
South,Online,131.8628300525027
South,Online,123.04456481885805
South,Online,118.41191179440959
South,Online,123.10112931842603
South,Online,98.14917302478929
South,Online,119.36393734594985
South,Online,126.28535085814096
South,Online,139.7347285368982
South,Online,115.78075738071624
South,Online,112.29807676528175
South,Online,115.97891547698556
South,Online,132.9848254124249
South,Online,125.94501331591621
South,Online,115.64287755479553
South,Online,128.15920919736027
South,Offline,113.16493059217649
South,Offline,123.62373988639467
South,Offline,103.57536287347178
South,Offline,108.06805424082678
South,Offline,107.29470216241411
South,Offline,94.43782062241458
South,Offline,115.55344332477492
South,Offline,115.13266326615867
South,Offline,112.06136147970953
South,Offline,109.18495439949824
South,Offline,95.01555109539503
South,Offline,106.9522561268157
South,Offline,107.88742580167877
South,Offline,102.37267276934057
South,Offline,110.0645714600079
South,Offline,116.84861028177446
South,Offline,134.63423081452635
South,Offline,114.09493375398206
South,Offline,115.09060468867317
South,Offline,111.106649010806
South,Offline,88.97474541641151
South,Offline,111.68183349460939
South,Offline,112.72276251929232
South,Offline,141.55890534982342
South,Offline,109.69166842262653
South,Offline,115.61856810800334
South,Offline,111.58345876353708
South,Offline,97.97586354856561
South,Offline,125.71387377418024
South,Offline,121.02319639224129
West,Online,141.49238336451657
West,Online,121.08735054246313
West,Online,148.8335317312332
West,Online,115.17778724649263
West,Online,139.04228512560326
West,Online,158.28546750971975
West,Online,120.11356409843174
West,Online,125.20442724476673
West,Online,133.19581638105169
West,Online,125.95829215060562
West,Online,113.3920388272064
West,Online,132.82275569767233
West,Online,119.25235543528674
West,Online,137.68310916762218
West,Online,120.96690918919437
West,Online,150.59921286021046
West,Online,122.60096049196515
West,Online,128.13526180553188
West,Online,141.76220660843603
West,Online,117.22962820279254
West,Online,134.72951921524955
West,Online,147.68571305138914
West,Online,112.71020118526528
West,Online,134.21560630238764
West,Online,135.1185935309811
West,Online,141.38187446132773
West,Online,117.15659146946302
West,Online,116.15452064298869
West,Online,138.26329878740276
West,Online,135.56381607879823
West,Offline,125.00591420415051
West,Offline,126.1573785139637
West,Offline,113.83970334105811
West,Offline,124.78704436593205
West,Offline,125.51686967958418
West,Offline,113.42778298368358
West,Offline,144.38929413373708
West,Offline,127.68599505094144
West,Offline,107.70435803356821
West,Offline,129.87864330360597
West,Offline,110.30381995727214
West,Offline,131.44501524490943
West,Offline,135.90314694808885
West,Offline,112.15181217977947
West,Offline,133.56051355093186
West,Offline,126.95337112323799
West,Offline,131.86472191993388
West,Offline,144.76151579184736
West,Offline,119.05534260796556
West,Offline,112.95516602771012
West,Offline,111.32582684449372
West,Offline,112.21027658041474
West,Offline,121.07477948703075
West,Offline,126.09382369779972
West,Offline,125.32028959196023
West,Offline,131.92619898843228
West,Offline,122.15602270253488
West,Offline,139.4424089258878
West,Offline,118.82411800114453
West,Offline,154.64202999907542
